NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
3.5,4,520000,3243,75035
2.5,4,347000,2300,75035
2.5,3,460990,2243,75034
2.5,2,418990,1840,75034
4.5,5,1275000,5315,75034
4,5,650000,4957,75036
3,4,399900,2580,75035
4,5,510000,3261,75035
3.5,4,950000,4344,75034
2,3,354900,1793,75035
3,3,725000,2552,75033
3.5,3,450000,2147,75034
4.5,5,1750000,5172,75034
2.5,3,392500,2093,75034
2.5,3,399900,2181,75034
2.5,4,399000,2463,75035
2.5,3,579900,2997,75036
2.5,3,400000,1989,75035
2.5,3,337500,1944,75035
4,4,609900,3487,75033
5,5,850000,4258,75034
3,4,450000,3347,75033
4,6,430000,2292,75033
3.5,4,475000,3243,75033
5.5,5,859000,4811,75035
2.5,3,550000,2997,75036
4,4,649000,3898,75033
2.5,4,475000,3583,75035
3.5,5,640000,4601,75034
2.5,4,373000,2148,75035
2,3,425000,2301,75035
2.5,3,374900,2334,75035
2,2,150000,1200,75033
3.5,5,505000,3537,75035
2,3,523950,2653,75034
2,3,441950,2323,75034
4,5,1135614,3897,75034
2.5,4,450000,2627,75033
3.5,4,495000,3219,75035
2.5,3,430990,2227,75034
3,4,620000,3261,75036
